"Datum zahájení";"Město";"Název";"Odběratel";"Ulice";"Číslo faktury";"Jazyk";"GPS";"Poznámka";"Ozvučení";"Čas příjezdu (na akci)";"Čas odjezdu (na akci)";"Příprava";"Smlouva";"Web";"Kontaktní osoby";"Země";"Kraj";"Způsob dopravy"
"28.10.2014";"Plzeň";"Plzeň 28.10.2014";"MEDIA PRODUCTION MUSIC, s.r.o.";"Kopeckého sady 59/13";"P-př.37/2014";"Čeština";"49.744550,13.376793";"";"Vlastní";"";"";"120 min";"1. 2. 2014";"www.mediaproductionmusic.cz";"";"Česká republika";"Západočeský";"Iveco"
"17.5.2014";"Milovice";"Milovice 17.5.2014";"RC Milovice";"nám. 30. června 507";"A-př.05/2014";"Čeština";"50.229025,14.877317";"RC Milovice";"Vlastní";"";"";"60 min";"";"";"Ludmila Šimková
+420 602 648 340";"Česká republika";"Středočeský";"Iveco"
"12.10.2014";"Kopřivnice";"Kopřivnice 12.10.2014";"Kulturní dům Kopřivnice";"Obránců míru 368";"P-př.36/2014";"Čeština";"49.599446,18.144834";"";"Vlastní";"10:00 (10.12.2014)";"05:30 (10.12.2014)";"120 min";"1. 2. 2014";"";"Michaela Sekerášová
+420 734 171 162";"Česká republika";"Severomoravský";"Iveco"
"9.10.2014";"Křemže";"Křemže 9.10.2014";"MC Křemílek ";"Náměstí 7";"A-př.33/2014";"Čeština";"48.904511,14.305455";"";"Vlastní";"05:15 (10.09.2014)";"04:45 (10.09.2014)";"30 min";"";"www.kremilek-kremze.cz";"Bc. Alena Nováková
+420 603 586 747";"Česká republika";"Jihočeský";"Scudo"
"7.10.2014";"České Budějovice";"České Budějovice 7.10.2014";"Mš Pohůrecká ";"Mš Pohůrecká";"P-hot.10/2014";"Čeština";"48.966989,14.507689";"2x Všudybyl";"";"04:00 (10.07.2014)";"03:45 (10.07.2014)";"30 min";"";"";"Heřmanová R.
+420 608 920 921 ";"Česká republika";"Jihočeský";"Iveco"
"5.10.2014";"Český Krumlov";"Český Krumlov 5.10.2014";"Městské divadlo Český Krumlov o.p.s.";"Horní Brána 2";"P-př.34/2014";"Čeština";"48.810391,14.319507";"";"";"09:30 (10.05.2014)";"08:45 (10.05.2014)";"90 min";"1. 2. 2014";"";"Mgr. Jaromír Hruška 
+420 602 200 649";"Česká republika";"Jihočeský";"Iveco"
"4.10.2014";"České Budějovice";"České Budějovice 4.10.2014";"Heba Agency s.r.o.";"Nádražní 1759";"P-př.35/2014";"Čeština";"48.972231,14.486990";"Obchodní dům Mercury";"";"05:00 (10.04.2014)";"04:30 (10.04.2014)";"30 min";"";"";"Jiří Heba 
+420 602 271 168";"Česká republika";"Jihočeský";"Iveco"
"4.10.2014";"Hrdějovice";"Hrdějovice 4.10.2014";"HRDĚ";"U kapličky na Těšínské";"P-př.33/2014";"Čeština";"49.026555,14.488474";"";"";"09:15 (10.04.2014)";"09:00 (10.04.2014)";"60 min";"";"";"Petr Hynek
+420 602 200 649
";"Česká republika";"Jihočeský";"Iveco"
"4.10.2014";"Praha ";"Praha 4.10.2014";"Svatojánská společnost";"Bělehradská 407/22";"A-hot.13/2014";"Čeština";"50.068738,14.436244";"";"";"05:30 (10.04.2014)";"03:00 (10.04.2014)";"30 min";"1. 2. 2014";"";"Helena Táboříková
+420 777 033 595";"Česká republika";"Středočeský";"Iveco"
"28.9.2014";"Ostrava";"Ostrava 28.9.2014";"Centrum kultury a vzdělávání Moravská Ostrava, příspěvková organizace";"Náměstí Svatopluka Čecha";"P-přijm.02/2014";"Čeština";"49.850806,18.272576";"";"";"";"";"30 min";"1. 2. 2014";"";"Dospivová, Moskvová
+420 774 905 686";"Česká republika";"Severomoravský";"Scudo"
"27.9.2014";"Úsilné";"Úsilné 27.9.2014";"Obec Úsilné";"Pod Kaštany";"P-př.31/2014";"Čeština";"49.011569,14.507554";"";"";"";"";"60 min";"";"";"Pavel Kašpárek
+420 602 479 795";"Česká republika";"Jihočeský";"Iveco"
"27.9.2014";"Poděbrady";"Poděbrady 27.9.2014";"ANO 2011";"Hakenova";"A-př.32/2014B";"Čeština";"50.144374,15.119874";"";"Vlastní";"";"";"15 min";"";"www.anobudelip.cz";"Kuncová
+420 601 392 673";"Česká republika";"Středočeský";"Iveco"
"27.9.2014";"Praha ";"Praha 27.9.2014";"Městská část Praha 9";"U Proseckého kostela";"P-př.30/2014";"Čeština";"50.117684,14.494145";"";"Vlastní";"";"";"120 min";"";"www.praha9.cz";"Jitka Duchková
+420 607 504 058";"Česká republika";"Středočeský";"Iveco"
"20.9.2014";"Milovice";"Milovice 20.9.2014";"EVENT ARENA s.r.o.";"";"P-př.29/2014";"Čeština";"50.236917,14.860996";"Mirákulum areál";"";"";"";"180 min";"";"";"Luboš Hubner
+420 775 213 705";"Česká republika";"Středočeský";"Iveco"
"20.9.2014";"Budičovice";"Budičovice 20.9.2014";"Letní dům, z.ú.";"Skály";"A-př.31/2014";"Čeština";"49.215635,14.156206";"";"";"";"";"60 min";"";"";"Andrea Blahovcová
+420 777 732 049";"Česká republika";"Středočeský";"Scudo"
"20.9.2014";"Haťě";"Hatě 20.9.2014";"KofroňProdiction & Advertising s.r.o.";"Hatě 196";"P-hot.09/2014";"Čeština";"48.763325,16.062767";"";"";"";"";"30 min";"";"";"Radim Jakubec
+420 731 506 553";"Česká republika";"Jihomoravský";"Osobní"
"12.9.2014";"Jičín";"Jičín 12-13.9.2014";"Nadační fond Jičín-Město pohádky";"Náměstí svobody";"A-př.30/2014";"Čeština";"50.435477,15.348857";"12-13.9.2014";"Vlastní";"14:30 (09.12.2014)";"11:30 (09.12.2014)";"60 min";"1. 2. 2014";"";"Dominik Malý 
+420 730 510 990";"Česká republika";"Severočeský";"Iveco"
"6.9.2014";"Ostrava";"Ostrava 6.9.2014";"Kvartet";"Hornické muzeum Landek Park";"P-př.28/2014";"Čeština";"49.866409,18.261907";"Landek park";"";"16:16 (09.06.2014)";"16:16 (09.06.2014)";"30 min";"";"";"Luboš Hamarčák 
+420 605 939 387";"Česká republika";"Severomoravský";"Iveco"
"6.9.2014";"Třebovle";"Třebovle 6.9.2014";"Kefír s.r.o.";"U hřiště";"A-př.29/2014";"Čeština";"50.027655,14.963400";"Areál Kefír";"";"15:00 (09.06.2014)";"12:30 (09.06.2014)";"190 min";"";"";"Michal Opočenský
+420 731 574 112";"Česká republika";"Středočeský";"Iveco"
"6.9.2014";"České Budějovice";"České Budějovice 6.9.2014";"Heba Agency s.r.o.";"Nádražní 1759";"A-př.28/2014";"Čeština";"48.972858,14.487308";"Obchodní dům Mercury";"";"05:20 (09.06.2014)";"05:00 (09.06.2014)";"30 min";"";"";"Jiří Heba
+420 602 271 168";"Česká republika";"Jihočeský";"Scudo"
"6.9.2014";"Valašské Meziříčí";"Valašské Meziříčí 6.9.2014";"Přístav ProCulture, o.s.";"Svěrákova";"P-př.26/2014";"Čeština";"49.471657,17.969920";"Zámek Kinských 
P-př. 27/2014";"";"08:00 (09.06.2014)";"03:30 (09.06.2014)";"60 min";"";"";"#ERROR!";"Česká republika";"Severomoravský";"Iveco"
"31.8.2014";"Tábor";"Tábor 31.8.2014";"Město Tábor";"Žižkova 236";"P-př.25/2014";"Čeština";"49.414005,14.661674";"";"";"";"";"30 min";"";"www.taborcz.eu";"Jana Nováková
+420 725 529 074";"Česká republika";"Jihočeský";"Scudo"
