"Jméno";"IČ";"DIČ";"Mobilní telefon";"Telefon do práce";"Banka";"Osoba";"Země";"Kraj";"Město";"PSČ";"Ulice";"Číslo účtu";"Var. symbol";"Skupina";"Poznámka"
"Město Horní Planá";"00245895";"";"+420 723 864 398";"";"";"Korandová Aneta";"Česká republika";"Jihočeský";"Horní Planá";"382 26";"";"";"NULL";"Divadla,Kulturní zařízení";"Korandová Aneta a Štětinová Marie"
"Ameba Production, spol. s r.o. ";"";"";"+420 737 339 339";"";"";"Lipert Jan ";"Česká republika";"Středočeský";"Český Brod";"282 01";"Palackého 237 ";"";"NULL";"Agentury";""
"Karel Paštyka";"40470539";"";"+420 603 269 761";"";"";"Paštyka Karel";"Česká republika";"Východočeský";"Jihlava";"586 01";"Štefánikovo nám. 1";"";"NULL";"Agentury";""
"Městský kulturní klub Hlinečan, příspěvková organizace";"43499678";"";"+420 734 794 557";"";"";"Sedlák Petr";"Česká republika";"Východočeský";"Hlinsko";"539 01";"Adámkova 341";"";"NULL";"Divadla,Kulturní zařízení";""
"Luboš Sobotka";"63566036";"CZ720911032";"+420 606 603 393";"";"";"Sobotka Luboš ";"Česká republika";"Východočeský";"Pohled";"582 21";"Zahradní I. 198";"";"NULL";"Agentury";""
"Městské středisko kultury a sportu";"71195424";"";"+420 734 797 521";"+420 381 276 707";"";"Nimrichtrová Kateřina ";"Česká republika";"Jihočeský";"Sezimovo Ústí";"391 01";"Nám. Tomáše Bati 701";"";"NULL";"Divadla,Kulturní zařízení";""
"Club deportivo Kutná Hora o.s.";"";"";"+420 607 188 396";"";"";"Trdličková Monika";"Česká republika";"Středočeský";"Kutná Hora";"284 01";"";"";"NULL";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Městský úřad Dačice";"246478";"CZ00246478";"+420 721 962 951";"+420 384 401 275";"";"Mastná Naděžda";"Česká republika";"Jihočeský";"Dačice";"380 01";"Krajířova 27/I.";"";"NULL";"Městské a obecní úřady";""
"Kulturní centrum Turnov, s.r.o.";"25958941";"CZ25958941";"+420 736 754 993";"";"";"Weissová Daniela";"Česká republika";"Severočeský";"Turnov";"511 01";"Markova 311";"";"NULL";"Divadla,Kulturní zařízení";""
"Obec Nová Pec";"00250619";"";"603 213 694";"";"";"Martin Hrbek";"Česká republika";"Jihočeský";"Nová Pec";"384 62";"Nové Chalupy 43";"";"NULL";"Městské a obecní úřady";""
"Západočeské divadlo v Chebu, příspěvková organizace ";"78042";"";"+420 733 510 495";"";"";"Pavlíková Miroslava";"Česká republika";"Západočeský";"Cheb";"350 02";"Dolní nám. 10";"";"NULL";"Divadla,Kulturní zařízení";""
"Obec Ořechov";"282278";"CZ00282278";"+420 605 588 654";"+420 547 225 131";"";"Hrubá Ivona";"Česká republika";"Jihomoravský";"Ořechov";"664 44";"Zahladní 216/1";"";"NULL";"Městské a obecní úřady";""
"Městys Strunkovice nad Blanicí";"250708";"";"+420 736 642 811";"";"";"Matějka Karel";"Česká republika";"Jihočeský";"Strunkovice nad Blanicí";"384 26";"Strunkovice 86";"";"NULL";"Městské a obecní úřady";""
"Starokatolická církev v ČR";"445304";"";"+420 608 316 240";"";"";"Mádlová ???";"Česká republika";"Středočeský";"Praha ";"110 00";"Na Bateriích 93";"";"NULL";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Městský úřad Zliv";"245721";"CZ00245721";"+420 605 729 095";"";"";"Vacková Dagmar";"Česká republika";"Jihočeský";"Zliv";"373 44";"Dolní nám. 585";"";"NULL";"Městské a obecní úřady";""
"Obec Horní Stropnice";"244929";"CZ00244929";"+420 725 480 169";"";"";"Šulistová Markéta";"Česká republika";"Jihočeský";"Horní Stropnice";"373 35";"Horní Stropnice 68";"";"NULL";"Městské a obecní úřady";""
"Sportovní klub Hojná Voda";"27029352";"";"+420 736 602 221";"";"";"Šulistová Markéta";"Česká republika";"Jihočeský";"Trhové Sviny";"374 01";"Hojná Voda 20";"";"NULL";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Lipno s.r.o.";"28136420";"CZ28136420";"+420 606 720 020";"";"";"Černíková Eva";"Česká republika";"Jihočeský";"Lipno nad Vltavou ";"382 78";"Lipno nad Vltavou 307";"";"NULL";"Agentury";""
"Městské kulturní středisko Vimperk";"67189687";"";"607 516 025";"";"";"Tomáš Jiřička";"Česká republika";"Jihočeský";"Vimperk";"385 01";"Johnova 226";"";"NULL";"Divadla,Kulturní zařízení";""
"Cvč Poškolák, o.s.";"22899529";"";"+420 777 278 426";"";"";"Chromá Valerie";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Karla Čapka 800";"";"NULL";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Přístav ProCulture, o.s.";"1896512";"";"+420 737 966 264";"";"";"Zelínková Gabriela";"Česká republika";"Severomoravský";"Valašské Meziříčí";"757 01";"Vrbenská 62/4";"";"NULL";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Kefír s.r.o.";"24839094";"CZ24839094";"+420 731 574 112";"";"";"Opočenský Michla";"Česká republika";"Středočeský";"Kolín";"280 02";"Zámecká 85";"";"NULL";"Agentury";""
"Kvartet";"";"";"+420 605 939 387";"";"";"Hamarčák Luboš";"Česká republika";"Středočeský";"Praha ";"110 00";"Sečská 1845/3";"";"NULL";"Agentury";""
"KofroňProdiction &amp; Advertising s.r.o.";"";"";"+420 731 506 553";"";"";"Jakubec Radim ";"Česká republika";"Jihomoravský";"Znojmo";"669 02";"Dobšická 15";"";"NULL";"Agentury";""
"Letní dům, z.ú.";"65998201";"";"+420 777 732 049";"";"";"Sorfová Monika";"Česká republika";"Středočeský";"Praha ";"110 00";"Vyšehradská 41";"";"NULL";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"EVENT ARENA s.r.o.";"26177668";"";"+420 775 213 705";"";"";"Hubner Luboš ";"Česká republika";"Středočeský";"Praha ";"110 00";"Havlíčkovo nám. 2";"";"NULL";"Agentury";""
"Centrum kultury a vzdělávání Moravská Ostrava, příspěvková organizace";"68917066";"";"";"";"";"";"Česká republika";"Severomoravský";"Ostrava";"729 29 ";"Sokolská třída 26/175";"";"NULL";"Divadla,Kulturní zařízení";""
"Městská část Praha 9";"00063894";"CZ00063894";"+420 607 504 058";"";"";"Duchková Jitka";"";"Středočeský";"Praha ";"110 00";"Sokolovská 14/324";"";"NULL";"Městské a obecní úřady";""
"Obec Úsilné";"00581909";"";"+420 602 479 795";"";"";"Kašpárek Pavel";"Česká republika";"Jihočeský";"Úsilné";"370 10";"Úsilné 43";"";"NULL";"Městské a obecní úřady";""
"ANO 2011";"71443339";"";"+420 605 392 673";"";"";"Kuncová Pavlína";"Česká republika";"Středočeský";"Praha ";"110 00";"Pyšelská 2361/4";"";"NULL";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Svatojánská společnost";"70889384";"";"+420 777 033 595";"";"";"Táboříková Helena";"Česká republika";"Středočeský";"Svatý Jan pod Skalou";"266 01";"Svatý Jan pod Skálou";"";"NULL";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Mš Pohůrecká ";"";"";"+420 608 920 921";"";"";"Heřmanová Renata";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Pohůrecká";"";"NULL";"Školy";""
"MC Křemílek ";"";"";"+420 603 586 747";"+420 773 520 088";"";"Nováková Alena";"Česká republika";"Jihočeský";"Křemže";"382 03";"Náměstí 7";"";"NULL";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Kulturní dům Kopřivnice";"66741122";"";"+420 734 171 162";"";"";"Sekerášová Michaela";"Česká republika";"Severomoravský";"Kopřivnice";"742 21";"Obránců míru 368";"";"NULL";"Divadla,Kulturní zařízení";""
"Maminky dětem, z. s.";"26625164";"";"+420 602 648 340";"";"";"Šimková Ludmila";"Česká republika";"Středočeský";"Milovice";"289 24";"nám. 30. června 507";"";"NULL";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"MEDIA PRODUCTION MUSIC, s.r.o.";"26363348";"CZ26363348";"+420 603 215 093";"";"";"Weinfurterová Olga";"Česká republika";"Západočeský";"Plzeň";"301 00";"Zikmunda Wintra 21";"";"NULL";"Agentury";""
"Ing. Markéta Blažková";"68527951";"";"+420 724 132 556";"";"";"Blažková Markéta";"Česká republika";"Jihočeský";"Stráž nad Nežárkou";"378 02";"Příbraz 23";"";"NULL";"Agentury";""
"Měks Třebíč";"44065566";"";"+420 605 234 708";"";"";"Dohnalová Aneta";"Česká republika";"Jihomoravský";"Třebíč";"674 01";"Karlovo náměstí 47";"";"NULL";"Divadla,Kulturní zařízení";""
"Slavonická renesanční společnost, o.s.";"";"";"+420 602 435 451";"";"";"Chadimová Zdena";"Česká republika";"Jihočeský";"Slavonice";"378 81";"Na potoku 629";"";"NULL";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Město Český Brod";"235334";"";"+420 728 067 496";"";"";"Nekolná Dita";"Česká republika";"Středočeský";"Český Brod";"282 01";"nám. Husovo 70";"";"NULL";"Městské a obecní úřady";""
"Město Duchcov Kulturní centrum Duchcov";"00266299";"";"+420 603 443 991";"+420 417 835 621";"";"Balejová Andrea";"Česká republika";"Severočeský";"Duchcov";"419 01";"Masarykova 447/9";"";"NULL";"Divadla,Kulturní zařízení";""
"Agentura Hnízdo";"";"";"+420 732 156 122";"";"";"Suchý Tomáš";"Česká republika";"Středočeský";"Beroun";"266 01";"Na ptačí skále 540";"";"NULL";"Agentury";""
"HRAD LOKET, o.p.s.";"25237896";"";"+420 607 077 321";"";"";"Kvak Roman";"Česká republika";"Západočeský";"Loket";"357 33";"Zámecká 67";"";"NULL";"Agentury";""
"Město Hradec nad Moravicí";"00300144";"CZ00300144";"+420 725 666 073";"";"";"Zuzanu Lilianu Machurovou";"Česká republika";"Severomoravský";"Hradec nad Moravicí";"747 41";"Opavská 265";"";"NULL";"Městské a obecní úřady";""
"Měks Strakonice, programové oddělení";"367869";"";"+420 602 106 130 ";"";"";"Skoupilová Dana";"Česká republika";"Jihočeský";"Strakonice";"386 01";"Mírová 831 ";"";"NULL";"Divadla,Kulturní zařízení";""
"Jihočeská rozvojová, o.p.s.";"";"";"+420 724 748 417";"";"";"Jurková Kateřina";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Rýgrova 1756/51";"";"NULL";"Agentury";""
"Budějovický Manifest, z.s.";"22874623";"";"+420 776 419 579";"";"";"Znoj Petr";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Vrchlického nábřeží 1";"";"NULL";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Město Nové Hrady";"00245267";"CZ00245267";"+420 602 150 208";"";"";"Jarolímková Květa";"Česká republika";"Jihočeský";"Nové Hrady";"373 33";"Náměstí republiky 46";"";"NULL";"Městské a obecní úřady";"Starosta - Vladimír Hokr"
"Město Nová Bystřice";"247138";"CZ00247138";"+420 723 958 059";"+420 384 386 909";"";"Vacková Petra";"Česká republika";"Jihočeský";"Nová Bystřice";"378 33";"Mírové Náměstí 58";"";"NULL";"Městské a obecní úřady";""
"Agentura Perudan s.r.o.";"";"";"+420 604 788 967";"";"";"Laštovka Jiří";"Česká republika";"Středočeský";"Praha ";"110 00";"Jičínská 43";"";"NULL";"Agentury";""
"Agentura Kultur-Kontakt";"63884933";"CZ7310171286";"+420 777 113 433";"";"";"Mareš Miroslav";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Krajinská 7";"";"NULL";"Agentury";""
"Měks Slavonice";"60816121";"";"+420 605 068 546";"";"";"Novotný Vladimír";"Česká republika";"Jihočeský";"Slavonice";"378 81";"Svatopluka Čecha 103";"";"NULL";"Divadla,Kulturní zařízení";""
"Náboženská obec Cirkve československé husitské";"";"";"+420 724 786 591 ";"";"";"Menšík Marek";"Česká republika";"Jihočeský";"Jindřichův Hradec";"377 01";"Kostelní 188";"";"NULL";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Rada dětí a mladéže Jihočeského kraje";"26516519";"";"+420 775 644 101";"+420 775 644 003";"";"Novák Petr";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Lannova 63";"";"NULL";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Město Kadaň";"00261912";"CZ00261912";"+420 725 763 486";"+420 477 319 675";"";"Zorklerová Eva";"Česká republika";"Středočeský";"Kadaň";"432 01";"Mírové náměstí 1";"";"NULL";"Městské a obecní úřady";""
"Jan Šeda";"11073403";"";"+420 603 204 111";"";"";"Šeda Jan";"Česká republika";"Východočeský";"Deštné v Orlických horách";"517 91";"Déštné v Orlických Horách 156";"";"NULL";"Agentury";""
"Želečský spolek";"27049655";"";"???";"";"";"Lanžhotská Dagmar";"Česká republika";"Jihočeský";"Želeč";"391 74";"Želeč 26";"";"NULL";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Ing. Petr Dočkal";"49121570";"";"777 115 524";"";"";"Dočkal Petr";"Česká republika";"Středočeský";"Žatec";"438 01";"Hájkova 862";"";"NULL";"Agentury";""
"Kulturní vzdělávací středisko U tří kohoutů";"101508";"CZ00101508";"+420 602 522 048";"+420 725 825 597";"";"Jelínková Šárka";"Česká republika";"Jihomoravský";"Brno";"614 00";"Nerudova 14";"";"NULL";"Divadla,Kulturní zařízení";""
"Mš U Pramene";"62537350";"";"+420 724 810 911";"";"";"Kalkušová ???";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"U Pramene 13";"";"NULL";"Školy";""
"MC Domeček YMCA Praha";"";"";"+420 773 993 985";"";"";"Pešlová Andrea";"Česká republika";"Středočeský";"Praha ";"110 00";"U Modré školy 1";"";"NULL";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Jihočeské muzeum v Českých Budějovicích";"73539";"CZ00073539";"+420 775 250 655";"";"";"Švejkarová Hana";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Dukelská 1";"";"NULL";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Mš Juárezova";"70942679";"CZ70942679";"+420 ???";"+420 233 320 306";"";"Švarcová Alena";"Česká republika";"Středočeský";"Praha ";"110 00";"Juárezova 24/1037";"";"NULL";"Školy";""
"Berounští Měšťané s.r.o.";"26197804";"";"+420 604 788 967";"";"";"Dupač Stanislav";"Česká republika";"Středočeský";"Praskolesy";"267 54";"Praskolesy 1";"";"NULL";"Agentury";""
"MKS Nový Jičín";"47998261";"CZ47998261";"+420 605 916 093";"+420 734 171 162";"";"Sekerášová Michaela";"Česká republika";"Severomoravský";"Nový Jičín";"741 01";"Masarykovo nám. 20";"";"NULL";"Divadla,Kulturní zařízení";""
"Magistrát města Olomouce-Oddělení kultury";"299308";"CZ00299308";"+420 606 760 620";"+420 585 513 256";"";"Hegerová Tamara";"Česká republika";"Severomoravský";"Olomouc";"779 00";"Horní náměstí 583";"";"NULL";"Městské a obecní úřady";""
"MEDIA INVEST COMPANY s.r.o.";"46696288";"2023538066";"+421 910 555 222";"";"";"Hýžová Lucia";"Slovensko";"";"Skalica";"909 01";"Ružová 175/8";"";"NULL";"Agentury";""
"Městský klub Litovel";"00849341";"";"+420 602 740 826";"";"";"Vogelová Hana";"Česká republika";"Severomoravský";"Litovel";"784 01";"nám. Přemysla Otakara II. 753";"";"NULL";"Divadla,Kulturní zařízení";""
"Stříbrná Kutná Hora, z.s.";"68998589";"";"+420 602 940 670";"+420 327 512 008";"";"Hrabánková Světlana";"Česká republika";"Středočeský";"Kutná Hora";"284 01";"Barborská 28";"";"NULL";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Středisko volného času, Opava, příspěvková organizace";"72071397";"";"+420 604 558 428";"+420 553 615 609";"";"Vondálová Jana";"Česká republika";"Severomoravský";"Opava";"746 01";"Jaselská 4";"";"NULL";"Divadla,Kulturní zařízení";""
"Divadlo Dokola";"45006091";"CZ6711012011";"+420 602 475 455";"";"";"Hroš Petr";"Česká republika";"Středočeský";"Benešov";"256 01";"Ladova 1199";"";"NULL";"Agentury";""
"Římskokatolická farnost - arciděkanství Kutná Hora";"46403523";"";"+420 607 188 396";"";"";"Trdličková Monika";"Česká republika";"Středočeský";"Kutná Hora";"284 01";"Jakubská 1";"";"NULL";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Rattenschwanz,o.s.";"270 362 35";"";"0420 604 125 109";"";"";"Korolus Václav";"Česká republika";"Středočeský";"Praha ";"110 00";"Severovýchodní II. 1480/42";"";"NULL";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Petr Nůsek";"63859629";"CZ6704212064";"+420 603 295 511";"";"";"Nusek Petr";"Česká republika";"Středočeský";"Praha ";"110 00";"Vinohradská 45";"";"NULL";"Agentury";""
"Město Hluboká nad Vltavou";"00244899";"";"";"";"";"";"Česká republika";"Jihočeský";"Hluboká nad Vltavou";"373 41";"Masarykova 36";"";"NULL";"Městské a obecní úřady";""
"Fedrfechtýři";"600 74 361";"";"+420 603 230 407";"";"";"Pařízek  Josef";"Česká republika";"Jihočeský";"Lednice";"691 44";"Na Oborách 476";"";"NULL";"Agentury";""
"Obec Skály";"250 104";"CZ250104";"+420 ????";"";"";"Sorfová Monika";"Česká republika";"Jihočeský";"Skály";"398 11";"Skály 61";"";"NULL";"Městské a obecní úřady";""
"Společnost Rožmberk o.p.s.";"25174541";"CZ25174541";"+420 602 150 208";"";"";"Jarolímková Květa";"Česká republika";"Jihočeský";"Kojákovice";"379 01";"Kojákovice 80";"";"NULL";"Městské a obecní úřady";""
"METROPOL, spol. s r.o.";"47237473";"";"+420 603 381 565";"";"";"Schel Jaromír";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Senovážné náměstí";"";"NULL";"Agentury";""
"spolek Sýpka";"02899442";"";"";"";"";"Šmíd Pavel";"Česká republika";"Jihočeský";"Hosín";"373 41";"Hosín 17";"";"NULL";"Agentury";""
"Občané pro Budějovice";"71443185";"";"";"";"";"";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Puklicova995/1";"";"NULL";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"HRDĚ";"";"";"";"";"";"Samohýl Jan";"Česká republika";"Jihočeský";"Hrdějovice";"373 61";"";"";"NULL";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"RC Milovice";"26625164";"";"+420 602 648 340";"";"";"Šimková Ludmila";"Česká republika";"Středočeský";"Milovice";"289 24";"nám. 30. června 507";"";"NULL";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Vladimír Novotný";"";"";"+420 605 068 546";"";"";"Novotný Vladimír";"Česká republika";"Jihočeský";"Slavonice";"378 81";"";"";"NULL";"Agentury";""
"Městské kulturní středisko Třebíč";"44065566";"CZ44065566";"+420 777 746 993";"";"";"Kutílková Jana";"Česká republika";"Jihomoravský";"Třebíč";"674 01";"Zámek 1";"";"NULL";"Divadla,Kulturní zařízení";"Městské kulturní středisko Třebíč
Jaromíra Hanáčková - ředitelka"
"Město Borovany";"244686";"CZ00244686";"420 728 741 613";"420 387 001 351";"";"Seberová Alena";"Česká republika";"Jihočeský";"Borovany";"373 12";"Žižkovo náměstí 107";"";"";"Divadla,Kulturní zařízení";""
"Art IGY";"47116757";"CZ47116757";"420 777 482 500";"";"";"Rauchová Zuzana";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Pražská 1247/24";"";"";"Agentury";""
"Praha 10 - majetková, a.s";"27205703";"";"420 774 725 455";"";"";"Petránková Zuzana";"Česká republika";"Středočeský";"Praha ";"110 00";"Vršovická 68/1429";"";"";"Městské a obecní úřady";""
"MŠ Lipník nad Bečvou";"";"";"";"";"";"Kašíková Lenka";"Česká republika";"Severomoravský";"Lipník nad Bečvou";"751 31";"";"";"";"Školy";""
"Městská část Praha 16";"00241598";"";"420 776 755 358";"";"";"Radová Dana";"Česká republika";"Středočeský";"Praha ";"110 00";"Václava Balého 23";"";"";"Městské a obecní úřady";""
"Základní škola a mateřská škola Tadeáše Haenkeho Chřibská, příspěvková organizace";"72744499";"";"420 720 331 216";"";"";"";"Česká republika";"Severočeský";"Chřibská";"407 44";"Chřipská 280";"";"";"Školy";""
"Město Dolní Poustevna";"261289";"CZ00261289";"420 412 397 136";"";"";"Malá Iveta";"Česká republika";"Severočeský";"Dolní Poustevna";"407 32";"Vilémovská 77";"";"";"Městské a obecní úřady";""
"Diakonie ČCE - středisko Rolnička";"47268701";"";"733 127 041";"";"";"Pokorná Ludmila";"Česká republika";"Jihočeský";"Soběslav";"392 01";"Mrázkova 700/III";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";"www.rolnicka.cz"
"Neobsazená";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"O.s.Danar";"26585570";"";"603 520 973";"";"";"Nový Aleš";"Česká republika";"Jihočeský";"Běleč";"391 43";"Běleč 3";"";"";"Agentury";""
"W-sdružení Písek";"68 53 79 64";"";"731 275 690";"";"";"Čápová Jitka";"Česká republika";"Jihočeský";"Písek";"397 01";"Dr.M.Horákové 1720";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"ART Prometheus, zapsaný spolek";"26529866";"";"734 445 137";"";"";"Švehlová Táňa";"Česká republika";"Středočeský";"Praha ";"110 00";"Sokolovská 104 / 85";"";"";"Agentury";""
"Mas Česky Západ z.s.";"26659981";"";"774 499 396";"";"";"Florián Jan";"Česká republika";"Západočeský";"Bezdružice";"349 53";"Lázeňská 63";"";"";"Agentury";""
"Městské kulturní středisko v Domažlicích";"00073865";"";"728 353 103";"728 353 103";"";"Ivana Antošová";"Česká republika";"Západočeský";"Domažlice";"344 01";"náměstí Míru 51";"";"";"Divadla,Kulturní zařízení";""
"Město Dobřichovice";"00241181";"";"724 339 732";"";"";"Cvrčková Vlaďka";"Česká republika";"Středočeský";"Dobřichovice";"252 29";"Vítova 61";"";"";"Městské a obecní úřady";""
"KEFÍR S.R.O.";"24839094";"CZ24839094";"728 583 010";"";"";"Kopic Michal";"Česká republika";"Středočeský";"Kolín";"280 02";"ZÁMECKÁ 85";"";"";"";""
"Městská část Praha 19";"00231304";"";"775 590 158";"";"";"Egrtová Šárka";"Česká republika";"Středočeský";"Praha ";"110 00";"Semilská 43/1";"";"";"Agentury";""
"augustin.kotil@centrum.cz";"00247618";"CZ00247618";"724 059 134";"";"";"Kotil Augustín";"Česká republika";"Jihočeský";"Třeboň";"379 01";"Palackého nám.46/II";"";"";"Divadla,Kulturní zařízení";""
"Středočeský kraj";"70891095";"";"724 908 113";"";"";"Minichová Helena";"Česká republika";"Středočeský";"Praha ";"110 00";"Zborovská 11";"";"";"Městské a obecní úřady";""
"Kulturní centrum Pardubice";"000 852 86";"CZ 000 85 286";"730 573 909";"";"";"Klasovitá Petra";"Česká republika";"Východočeský";"Pardubice";"530 02";"náměstí Republiky 1";"";"";"Divadla,Kulturní zařízení";""
"Obec Putim";"00250058";"CZ00250058";"724 190 320";"";"";"Matouš Petr";"Česká republika";"Jihočeský";"Putim";"397 01";"Putim 198";"";"";"Městské a obecní úřady";""
"Čevak a.s.";"60 84 96 57";"CZ60849657";"734 523 480";"";"";"Zimmelová Lenka";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Severní 8/2264";"";"";"Agentury";""
"Město Třeboň";"00247618";"CZ00247618";"724 059 134";"";"";"Kotil Augustín";"Česká republika";"Jihočeský";"Třeboň";"379 01";"Palackého náměstí 46/II";"";"";"Divadla,Kulturní zařízení";""
"Kulturní dům Blaník Vlašim, příspěvková organizace";"71237615";"";"724 100 590";"";"";"Pytlíková Markéta";"Česká republika";"Středočeský";"Vlašim";"258 01";"Komenského 22";"";"";"Divadla,Kulturní zařízení";""
"MgA. Jarmila Procházková";"7631 40 49";"";"732 704 560";"";"";"Procházková Jarmila";"Česká republika";"Jihočeský";"Plavsko";"378 02";"Plavsko 27";"";"";"Chůdař";""
"EXTETO S.R.O.";"02133130";"";"725 782 262";"";"";"Somerová Simona";"Česká republika";"Středočeský";"Tuchoměřice";"252 67";"V Kněžívce 261";"";"";"Agentury";""
"Město Úštěk";"00264571";"";"602 194 191";"";"";"Uhlík Libor";"Česká republika";"Severočeský";"Úštěk";"411 45";"Mírové náměstí 83";"";"";"Městské a obecní úřady";""
"Centrum BAZALKA, o.p.s.";"26064073";"";"602 600 242";"";"";"Grguričová Linda";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"U Jeslí 198/13";"";"";"Školy";""
